Provider Id,New On Time Arrival Metric,Previous On Time Arrival Metric,Completed Workorders Count
2000131923,0.05660377358,0.1596244131,217
2000108378,0.07352941176,0.1764705882,170
2000017137,0.5735294118,0.6764705882,72
2000129888,0.5,0.6029411765,70
2000029696,0.4112149533,0.5140186916,134
2000002582,0,0.102739726,149
2000072765,0.3258928571,0.4285714286,248
2000117231,0.03125,0.1339285714,245
2000049062,0.4871794872,0.5897435897,54
2000101087,0.2820512821,0.3846153846,46
2000068576,0.6666666667,0.7692307692,45
2000098513,0.6666666667,0.7692307692,14
2000079493,0.4671814672,0.5694980695,548
2000042493,0.4489795918,0.5510204082,100
2000148343,0.6632653061,0.7653061224,116
2000125381,0.1428571429,0.2448979592,51
2000081023,0.6050955414,0.7070063694,184
2000021125,0.7407407407,0.8425925926,113
2000011696,0.3832335329,0.4850299401,185
2000127566,0.6878669276,0.78962818,1022
2000037176,0.8959311424,0.9976525822,1428
2000063156,0.8421052632,0.9438202247,89
2000115667,0.7627118644,0.8644067797,63
2000107213,0.1956241956,0.2972972973,877
2000080030,0.6856866538,0.7872340426,1072
2000042644,0.6811594203,0.7826086957,72
2000046360,0.6217798595,0.7231481481,3657
2000024991,0.5247747748,0.6261261261,469
2000060628,0.3436123348,0.4449339207,491
2000123111,0.7941176471,0.8954248366,918
2000052951,0.7411764706,0.8423529412,486
2000049799,0.4847328244,0.5858778626,569
2000076912,0.3257731959,0.4268041237,1329
2000116723,0.6565656566,0.7575757576,105
2000071666,0.480173482,0.5811648079,1766
2000129093,0.674267101,0.7752442997,330
2000093500,0.72,0.820952381,580
2000101982,0.7204610951,0.8213256484,383
2000035785,0.7197080292,0.8204379562,725
2000085888,0.1654676259,0.2661870504,145
2000039664,0.8155940594,0.9158415842,850
2000130052,0.3923240938,0.4925373134,471
2000041332,0.7,0.8,30
2000041922,0.7,0.8,10
2000042436,0.7,0.8,11
2000085090,0.7,0.8,10
2000087442,0.7,0.8,22
2000100227,0.7,0.8,11
2000132344,0.6833333333,0.7833333333,64
2000132410,0.7,0.8,154
2000138941,0.7,0.8,12
2000011485,0.45,0.55,25
2000013872,0.3,0.4,12
2000023817,0.3,0.4,15
2000027152,0.3,0.4,12
2000041398,0.3,0.4,45
2000041433,0.46,0.56,71
2000048796,0.3,0.4,12
2000053805,0.3,0.4,12
2000060906,0.3,0.4,21
2000062972,0.3,0.4,10
2000064372,0.4293333333,0.5293333333,800
2000069005,0.35,0.45,1231
2000069601,0.3,0.4,10
2000072911,0.3,0.4,10
2000074105,0.4166666667,0.5166666667,62
2000089109,0.3,0.4,10
2000109942,0.3,0.4,12
2000116772,0.45,0.55,22
2000117363,0.3,0.4,22
2000118206,0.3,0.4,10
2000138993,0.3,0.4,10
2000051641,0.1,0.2,65
2000055457,0.1,0.2,13
2000055494,0.15,0.25,21
2000059374,0.1,0.2,10
2000059453,0.1,0.2,11
2000063097,0.1,0.2,79
2000086955,0,0.1,10
2000090122,0.1,0.2,11
2000091470,0.1,0.2,28
2000097074,0.1333333333,0.2333333333,32
2000110304,0,0.1,12
2000115446,0,0.1,11
2000115821,0,0.1,14
2000123043,0,0.1,16
2000125024,0.1,0.2,364
2000126958,0,0.1,17
2000127011,0.1,0.2,48
2000130085,0.1,0.2,19
2000130587,0.1,0.2,10
2000133652,0.1,0.2,18
2000134654,0,0.1,31
2000139259,0.1,0.2,25
2000139959,0,0.1,11
2000140410,0.1,0.2,11
2000019697,0.4,0.5,11
2000028857,0.2,0.3,10
2000031046,0.74,0.84,100
2000038857,0.7583333333,0.8583333333,128
2000041679,0.6,0.7,10
2000042872,0.8,0.9,10
2000043013,0.9,1,47
2000045088,0.8,0.9,11
2000046528,0.4,0.5,11
2000046555,0.6666666667,0.7666666667,30
2000047563,0.4666666667,0.5666666667,36
2000051464,0.5,0.6,13
2000053080,0.9,1,10
2000054864,0.2,0.3,10
2000058609,0.2,0.3,21
2000058822,0.9,1,11
2000062090,0.5,0.6,12
2000069321,0.8,0.9,12
2000069947,0.4,0.5,10
2000072798,0.6,0.7,23
2000073868,0.8,0.9,10
2000075820,0.5,0.6,25
2000082873,0.8,0.9,10
2000085376,0.6,0.7,14
2000085998,0.9,1,14
2000086286,0.5,0.6,10
2000087580,0.2,0.3,21
2000093045,0.5,0.6,22
2000093762,0.2,0.3,10
2000096370,0.4,0.5,450
2000096457,0.6,0.7,10
2000100072,0.4,0.5,35
2000101060,0.2,0.3,27
2000103177,0.8,0.9,12
2000114775,0.4,0.5,15
2000115161,0.675,0.775,47
2000115954,0.4,0.5,10
2000117873,0.5,0.6,10
2000117954,0.2,0.3,11
2000118276,0.72,0.82,102
2000122790,0.6,0.7,10
2000124471,0.5,0.6,10
2000125563,0.2,0.3,10
2000129270,0.4666666667,0.5666666667,61
2000130207,0.6,0.7,114
2000130940,0.6,0.7,11
2000131247,0.5,0.6,13
2000135108,0.4125,0.5125,189
2000135712,0.6,0.7,15
2000137842,0.2,0.3,98
2000137993,0.8,0.9,10
2000139139,0.4,0.5,115
2000142089,0.4,0.5,11
2000142393,0.5,0.6,14
2000142876,0.8,0.9,12
2000139692,0.8931185944,0.9926793558,689
2000056738,0.5849514563,0.6844660194,423
2000104576,0.6464088398,0.7458563536,194
2000035653,0.9005694262,1,3258
2000055412,0.798245614,0.8976608187,379
2000088201,0.5224358974,0.6217948718,352
2000087926,0.5129251701,0.612244898,954
2000045465,0.6241134752,0.7234042553,147
2000036822,0.7022900763,0.8015267176,132
2000002928,0.6284046693,0.7276264591,545
2000002001,0.3777777778,0.4769230769,615
2000028538,0.1721698113,0.2712264151,1398
2000076666,0.5103066868,0.6093514329,2219
2000052308,0.6071428571,0.7061688312,657
2000086276,0.5247524752,0.6237623762,101
2000136295,0.4688644689,0.5677655678,281
2000010989,0.7131692067,0.8120359515,2928
2000039548,0.6879327399,0.7866841875,2419
2000073790,0.5546218487,0.6533613445,538
2000139046,0.794081381,0.8927250308,962
2000068122,0.7887323944,0.8873239437,72
2000055043,0.5081967213,0.606557377,64
2000068279,0.4754098361,0.5737704918,131
2000141369,0.6274509804,0.7254901961,77
2000060206,0.8039215686,0.9019607843,57
2000108130,0.5629844961,0.6608527132,1119
2000022151,0.4420289855,0.5398550725,330
2000039529,0.380189175,0.4779948223,4450
2000091901,0.4210526316,0.5187969925,171
2000064988,0.03658536585,0.1341463415,99
2000048201,0.756097561,0.8536585366,104
2000050001,0.3170731707,0.4146341463,137
2000097350,0.256097561,0.3536585366,86
2000127023,0.756097561,0.8536585366,360
2000133810,0.8292682927,0.9268292683,41
2000074448,0.3414634146,0.4390243902,48
2000109720,0.3414634146,0.4390243902,85
2000002014,0.6591133005,0.7566502463,1414
2000133228,0.43387471,0.5313225058,516
2000118968,0.5128205128,0.6102564103,209
2000145154,0,0.09734513274,151
2000051618,0.6972972973,0.7945945946,196
2000019305,0.7000359454,0.7972706051,6426
2000078041,0.4027777778,0.5,75
2000025306,0.6666666667,0.7638888889,79
2000111101,0.6771653543,0.7742782152,450
2000113884,0.5057971014,0.6028985507,750
2000114946,0.4665551839,0.5635451505,768
2000100805,0.2422907489,0.3392070485,271
2000113699,0.7606837607,0.8575498575,393
2000050376,0.6774193548,0.7741935484,35
2000131309,0.4838709677,0.5806451613,43
2000058325,0.06451612903,0.1612903226,78
2000014699,0.8870967742,0.9838709677,64
2000032107,0.3548387097,0.4516129032,33
2000032793,0.6129032258,0.7096774194,35
2000038390,0.5806451613,0.6774193548,35
2000051441,0.5806451613,0.6774193548,35
2000124373,0.5161290323,0.6129032258,45
2000060005,0.7942386831,0.8909465021,499
2000070192,0.621399177,0.7181069959,668
2000002081,0.7894736842,0.8859649123,361
2000109763,0.7964285714,0.8928571429,328
2000138672,0.7910633016,0.8874637981,2419
2000111102,0.5602409639,0.656626506,169
2000025443,0.734939759,0.8313253012,105
2000054427,0.2891566265,0.3855421687,98
2000109540,0.8012048193,0.8975903614,170
2000060626,0.6563618614,0.752684673,3306
2000003114,0.7307692308,0.8269230769,57
2000061168,0.3846153846,0.4807692308,54
2000120288,0.2115384615,0.3076923077,104
2000064998,0.07692307692,0.1730769231,98
2000000967,0.6139534884,0.7100775194,708
2000112620,0.8510638298,0.9470899471,195
2000041891,0.888,0.984,125
2000015214,0.6184899078,0.7144778126,7213
2000028466,0.5342465753,0.6301369863,81
2000064098,0.5479452055,0.6438356164,81
2000146892,0.7808219178,0.8767123288,120
2000077402,0.6766467066,0.7724550898,632
2000097182,0.1034482759,0.1992337165,298
2000069366,0.1276595745,0.2234042553,167
2000128432,0.8947368421,0.990430622,682
